SYST_TRAJ_ID,FLPL_CALL_SIGN,FLPL_NUMB,FLPL_AIRC_TYPE,REQS_FLGT_LEVL,FLPL_DEPR_AIRP,FLPL_ARRV_AIRP,TRANSIT,MODES_ADRESS,FILE_DATE,frontiere_algerienne,premier_plot
202403210019834,VTI025,625139.0,B789,,VIDP,EDDF,,8394042.0,20240321,False,1703
202403210020758,THY4MG,610918.0,A332,,EDDF,LTFM,,4958516.0,20240321,False,1742
202403210020882,IBE34WR,629484.0,A321,,LEMD,LFPO,,3412814.0,20240321,False,1747
202403210022024,RYR92LW,616625.0,B738,,LIRP,LATI,,5055073.0,20240321,False,1857
202403210023130,KLM55X,658352.0,E295,,EHAM,LFBD,,4744341.0,20240321,False,2010
202403210023853,EZY75CQ,607177.0,A20N,,LXGB,EGGD,,4224184.0,20240321,False,2103
202403210000637,FHLRC,558274.0,DA62,,LFRI,LFBN,,3780130.0,20240321,False,0509
202403210003342,GWVIP,559689.0,BE20,,EGTE,LFQQ,,4197156.0,20240321,False,0814
202403210003762,IBE31LP,624844.0,A20N,,LEMD,LOWW,,3430033.0,20240321,False,0829
202403210006709,EJU4079,618438.0,A320,,LIPZ,LSGG,,4456502.0,20240321,False,1005
202403210008180,DLH3V,625822.0,B789,,EDDF,KDTW,,3951107.0,20240321,False,1052
202403210008958,TOM2MH,601429.0,B738,,EIDW,GCRR,,4220068.0,20240321,False,1117
202403210009800,ITY121,600171.0,A320,,EHAM,LIML,,5023999.0,20240321,False,1149
202403210010040,AFR15PH,608176.0,A319,,LFPG,LIRQ,,3753205.0,20240321,False,1158
202403210010817,ITY1642,605136.0,A319,,LIBR,LIML,,5023984.0,20240321,False,1226
202403210012807,MODEA_4221,,,,,,,,20240321,False,1329
202403210013287,DAL265,601477.0,A333,,LFPG,KJFK,,11201164.0,20240321,False,1342
202403210013510,MODEA_7000,,,,,,,,20240321,False,1348
202403210014370,DRAGO17,,,,,,,3898275.0,20240321,False,1411
202403210015334,SAMU37,,,,,,,3787398.0,20240321,False,1438
202403210015481,SWR109A,602592.0,BCS3,,EDDH,LSZH,,5254411.0,20240321,False,1442
202403210015699,DLH677,610931.0,A321,,GMMX,EDDM,,3958378.0,20240321,False,1448
202403210020372,AFR56ZU,600400.0,A320,,LFPG,EGCC,,3794092.0,20240321,False,1723
202403210022387,ITY219,631390.0,BCS1,,EGLC,LIML,,5025297.0,20240321,False,1921
202403210022941,AFR22GB,612297.0,E170,,LFLL,LFRB,,3770088.0,20240321,False,1958
202403210023736,DLH1PW,615844.0,E195,,EDDG,EDDM,,3147099.0,20240321,False,2052
202403210001538,EJU80DA,596908.0,A319,,LEBL,LSGG,,4457962.0,20240321,False,0630
202403210002250,RYR8173,601443.0,B738,,GMAD,EBCI,,5023823.0,20240321,False,0716
202403210003706,EZY18VL,616253.0,A21N,,EGKK,LEPA,,4224614.0,20240321,False,0827
202403210004513,VALOR21,601683.0,LJ35,,ETAR,EGUN,,11403696.0,20240321,False,0855
202403210006644,RBG542,624886.0,A320,,HECA,LIME,,66017.0,20240321,False,1002
202403210006700,JSG187,622698.0,C650,,EGHH,LIBD,,4659267.0,20240321,False,1004
202403210007829,FHCMC,,,,,,,3770754.0,20240321,False,1040
202403210008264,BOX453,620241.0,B77L,,KJFK,EDDF,,3949955.0,20240321,False,1054
202403210008682,PGT82RY,621131.0,A320,,EDDK,LTFJ,,4952172.0,20240321,False,1108
202403210009367,ITY1287,598621.0,BCS3,,LIML,LIRN,,5024898.0,20240321,False,1133
202403210009479,DMESY,,,,,,,4188955.0,20240321,False,1137
202403210009564,GBRUD,,,,,,,4206776.0,20240321,False,1140
202403210009846,N114LM,,,,,,,10501141.0,20240321,False,1151
202403210013442,DEVIE,,,,,,,4013296.0,20240321,False,1346
202403210013785,SVA236,608383.0,A320,,LSGG,OEJN,,7405694.0,20240321,False,1356
202403210015738,FGSRK,,,,,,,3754538.0,20240321,False,1450
202403210015949,FJGXJ,,,,,,,3732604.0,20240321,False,1456
202403210016038,VLG840Q,599232.0,A321,,LEBL,LEZL,,3434129.0,20240321,False,1458
202403210016462,DRAG141,,,,,,,3276854.0,20240321,False,1510
202403210017424,MODEA_7000,,,,,,,,20240321,False,1539
202403210018829,MODEA_4710,,,,,,,,20240321,False,1627
202403210022848,TAP74NA,608932.0,A320,,LPPT,EHAM,,4805069.0,20240321,False,1952
202403210024005,AAL142,629632.0,B772,,KJFK,EGLL,,11188242.0,20240321,False,2118
