Sequence number,Code,Time of departure/entry,Departure aerodrome,Arrival aerodrome,Flight identification,Main Exemption code,Type of aircraft,Operator,Aircraft Registration,Comment1,Flight date,IFPLID,Planned_aerodrome,Charging_zone_overflow,Entry_point,Exit_point,Sup_exemption_code,Source of the Aircraft Address,24-bit Aircraft Address,Comment2
72099,F,221,FAOR,EGLL,VIR450   ,Z,B789   ,Z  ,GVBZZ    ,,240316,AA56938717,,,,,,,,
72100,F,306,FAOR,EGLL,BAW56    ,Z,A388   ,Z  ,GXLEA    ,,240316,AA56940004,,,,,,,,
72103,F,1913,LFPG,MMSM,AFR6722  ,Z,B77L   ,Z  ,FGUOB    ,,240315,AA56940728,,,,,,,,
72104,F,1848,LFPG,ZBAA,CCA934   ,Z,B77W   ,Z  ,B2006    ,,240315,AA56939912,,,,,,,,
72105,F,1852,LFOB,EGAA,RUK8X    ,Z,B738   ,Z  ,GRUKF    ,,240315,AA56933212,,,,,,,,
72106,F,2032,LFPG,EDDN,AFR1310  ,Z,E190   ,Z  ,FHBLG    ,,240315,AA56913490,,,,,,,,
72107,F,1929,LFPG,KLAX,AFR078   ,Z,A359   ,Z  ,FHTYP    ,,240315,AA56937906,,,,,,,,
72112,F,2021,LFPG,KMEM,FDX5217  ,Z,B77L   ,Z  ,N842F    ,,240315,AA56941412,,,,,,,,
72113,F,2019,LFPG,EDDF,AFR52MA  ,Z,E190   ,Z  ,FHBLC    ,,240315,AA56914757,,,,,,,,
72114,F,2032,LFPG,EPWA,AFR82TD  ,Z,BCS3   ,Z  ,FHZUR    ,,240315,AA56936840,,,,,,,,
72116,F,2035,LFPG,EDDB,AFR51TJ  ,Z,BCS3   ,Z  ,FHZUU    ,,240315,AA56937919,,,,,,,,
72117,F,2039,LFOB,EPGD,WZZ24ZX  ,Z,A21N   ,Z  ,HALVT    ,,240315,AA56928228,,,,,,,,
72118,F,528,FAOR,EGLL,BAW54    ,Z,B789   ,Z  ,GZBKJ    ,,240316,AA56942336,,,,,,,,
72122,F,212,FKYS,EBBR,BEL39G   ,Z,A333   ,Z  ,OOSFF    ,,240316,AA56937680,,,,,,,,
72124,F,212,DIAP,EBBR,BEL29B   ,Z,A333   ,Z  ,OOSFE    ,,240316,AA56938956,,,,,,,,
72125,F,336,FZAA,EBBR,BEL38K   ,Z,A333   ,Z  ,OOSFB    ,,240316,AA56939277,,,,,,,,
72129,F,351,HUEN,EBBR,BEL4UR   ,Z,A333   ,Z  ,OOSFH    ,,240316,AA56937967,,,,,,,,
72130,F,443,HKJK,EGLL,KQA102   ,Z,B788   ,Z  ,5YKZD    ,,240316,AA56941489,,,,,,,,
72132,F,2156,LFPO,EGGD,EZY72BX  ,Z,A320   ,Z  ,GEZTL    ,,240315,AA56933011,,,,,,,,
72133,F,231,DNMM,EHAM,KLM588   ,Z,A332   ,Z  ,PHAOA    ,,240316,AA56941188,,,,,,,,
72134,F,437,HRYR,EGLL,RWD710   ,Z,A332   ,Z  ,9XRWX    ,,240316,AA56941082,,,,,,,,
72139,F,2211,LFPG,EGKK,EZY37DK  ,Z,A20N   ,Z  ,GUZHS    ,,240315,AA56928011,,,,,,,,
72141,F,415,DNAA,LFPG,AFR866   ,Z,A332   ,Z  ,FGZCF    ,,240316,AA56941354,,,,,,,,
72146,F,645,FAOR,EHAM,KLM592   ,Z,B77W   ,Z  ,PHBVF    ,,240316,AA56940902,,,,,,,,
72148,F,237,DNMM,EGLL,BAW74    ,Z,B78X   ,Z  ,GZBLF    ,,240316,AA56938736,,,,,,,,
72150,F,246,DGAA,EHAM,KLM590   ,Z,B77W   ,Z  ,PHBVU    ,,240316,AA56941820,,,,,,,,
72158,F,501,DNMM,LFPG,AFR149   ,Z,A359   ,Z  ,FHTYD    ,,240316,AA56943236,,,,,,,,
72160,F,449,DBBB,LFPG,AFR805   ,Z,A332   ,Z  ,FGZCD    ,,240316,AA56942896,,,,,,,,
72161,F,447,DGAA,LFPG,AFR931   ,Z,A332   ,Z  ,FGZCL    ,,240316,AA56942506,,,,,,,,
