Sequence number,Code,Time of departure/entry,Departure aerodrome,Arrival aerodrome,Flight identification,Main Exemption code,Type of aircraft,Operator,Aircraft Registration,Comment1,Flight date,IFPLID,Planned_aerodrome,Charging_zone_overflow,Entry_point,Exit_point,Sup_exemption_code,Source of the Aircraft Address,24-bit Aircraft Address,Comment2
18814,F,1830,LFPG,LSGG,AFR18MA  ,Z,BCS3   ,Z  ,FHZUP    ,,240119,AA55472855,,,,,,,,
18820,F,1802,LFPO,GMMN,RAM771T  ,Z,B738   ,Z  ,CNROU    ,,240119,AA55469847,,,,,,,,
18823,F,1754,LFOZ,LFBD,N346T    ,Z,PA46   ,Z  ,PRIVA    ,,240119,AA55474557,,,,,,,,
18825,F,1728,LFPN,LFLB,N310ML   ,Z,C310   ,Z  ,N310M    ,,240119,AA55454477,,,,,,,,
18826,F,1800,LFOB,LEBL,RYR89CE  ,Z,B738   ,Z  ,EIESV    ,,240119,AA55468800,,,,,,,,
18828,F,1823,LFPB,LFLC,FHLRX    ,Z,F2TH   ,Z  ,FHLRX    ,,240119,AA55414669,,,,,,,,
18829,F,1844,LFPG,ZBAA,CCA934   ,Z,B77W   ,Z  ,B2047    ,,240119,AA55477550,,,,,,,,
18830,F,1400,LFBF,LFOJ,CM2005   ,Z,A400   ,Z  ,FAFNP    ,,240119,         ,,,,,,,,
18831,F,1745,LFBT,LFPO,VOE21VZ  ,Z,A319   ,Z  ,ECMTB    ,,240119,AA55465797,,,,,,,,
18833,F,1804,LFMT,GMMX,TVF3192  ,Z,B738   ,Z  ,FGZHL    ,,240119,AA55466420,,,,,,,,
18834,F,1853,LFSB,EDDH,EZS72BQ  ,Z,A20N   ,Z  ,HBAYQ    ,,240119,AA55469637,,,,,,,,
18836,F,1751,LFBD,LFPG,AFR23YP  ,Z,A319   ,Z  ,FGRHK    ,,240119,AA55472951,,,,,,,,
18843,F,1808,LFPO,LEBL,TVF82PD  ,Z,A20N   ,Z  ,FGNEO    ,,240119,AA55465472,,,,,,,,
18845,F,1839,LFKB,LFMN,CCM20XQ  ,Z,AT76   ,Z  ,FHXKY    ,,240119,AA55454717,,,,,,,,
18847,F,1826,LFPG,KCVG,DAL229   ,Z,A333   ,Z  ,N805N    ,,240119,AA55478271,,,,,,,,
18848,F,1806,LFTH,LFRG,JFA10Q   ,Z,SF50   ,Z  ,         ,,240119,AA55472610,,,,,,,,
18849,F,1748,LFTH,LFPN,JFA10Q   ,Z,SF50   ,Z  ,LXSFB    ,,240119,AA55472610,,,,,,,,
18850,F,1844,LFBD,GMMN,RAM799   ,Z,B38M   ,Z  ,CNRNU    ,,240119,AA55469526,,,,,,,,
18856,F,1842,LFPG,LIMC,EJU61FY  ,Z,A320   ,Z  ,OEING    ,,240119,AA55463260,,,,,,,,
18857,F,1846,LFPO,LIPZ,TVF71BP  ,Z,B738   ,Z  ,FHTVF    ,,240119,AA55465504,,,,,,,,
18860,F,1806,LFBO,LFPO,EJU362E  ,Z,A320   ,Z  ,OEIVF    ,,240119,AA55462484,,,,,,,,
18862,F,1905,LFSB,EDDF,DLH6AW   ,Z,CRJ9   ,Z  ,DACKJ    ,,240119,AA55454206,,,,,,,,
18865,F,1849,LFPO,LIML,ITY353   ,Z,A319   ,Z  ,EIIMM    ,,240119,AA55474217,,,,,,,,
18871,F,1838,LFPG,LFLC,AFR7392  ,Z,E190   ,Z  ,FHBLI    ,,240119,AA55451595,,,,,,,,
18880,F,1917,LFLB,LTBA,TCICG    ,Z,E35L   ,Z  ,TCICG    ,,240119,AA55451215,,,,,,,,
18881,F,1911,LFSB,EDDM,DLH4PV   ,Z,CRJ9   ,Z  ,DACNE    ,,240119,AA55460291,,,,,,,,
18882,F,1817,LFPO,LFBO,AFR42VY  ,Z,A320   ,Z  ,FHBNH    ,,240119,AA55473359,,,,,,,,
18886,F,1809,LFBO,LFQQ,EJU416A  ,Z,A319   ,Z  ,OELQR    ,,240119,AA55470988,,,,,,,,
18890,F,1827,LFPG,LEMD,IBE34VZ  ,Z,A320   ,Z  ,ECIEG    ,,240119,AA55476075,,,,,,,,
18892,F,1819,LFPG,LFBZ,AFR7486  ,Z,E190   ,Z  ,FHBLE    ,,240119,AA55451754,,,,,,,,
18893,F,1818,LFBO,LFPO,AFR73VN  ,Z,A320   ,Z  ,FHBNJ    ,,240119,AA55473345,,,,,,,,
18894,F,1859,LFOB,LIRA,RYR1ZU   ,Z,B38M   ,Z  ,9HVUS    ,,240119,AA55469914,,,,,,,,
18898,F,1905,LFBO,GMMN,RAM797L  ,Z,E190   ,Z  ,CNRGR    ,,240119,AA55467082,,,,,,,,
18900,F,1829,LFPG,GMMN,RAM789H  ,Z,B738   ,Z  ,CNROT    ,,240119,AA55467016,,,,,,,,
18906,F,1837,LFPO,LEMD,IBE34CD  ,Z,A321   ,Z  ,ECJZM    ,,240119,AA55476014,,,,,,,,
18908,F,1825,LFPG,LFBO,AFR79HC  ,Z,A321   ,Z  ,FGTAU    ,,240119,AA55472958,,,,,,,,
18912,F,1826,LFBD,LFPO,CAJ1641  ,Z,A359   ,Z  ,FHTRE    ,,240119,AA55473798,,,,,,,,
18913,F,1842,LFPO,DAAG,DAH1007  ,Z,B738   ,Z  ,7TVKB    ,,240119,AA55474576,,,,,,,,
18917,F,1844,LFBO,LFRS,EJU308E  ,Z,A319   ,Z  ,OELKD    ,,240119,AA55464615,,,,,,,,
18920,F,1850,LFPO,LFSL,AIA1929  ,Z,E145   ,Z  ,S5ACJ    ,,240119,AA55457939,,,,,,,,
18922,F,1844,LFPO,GMMX,TVF84CZ  ,Z,B738   ,Z  ,FGZHM    ,,240119,AA55467088,,,,,,,,
18927,F,1841,LFRS,LFBO,EJU924L  ,Z,A320   ,Z  ,OEIJZ    ,,240119,AA55464566,,,,,,,,
18932,F,1935,LFSB,LOWW,AUA474T  ,Z,E195   ,Z  ,OELWO    ,,240119,AA55474782,,,,,,,,
18939,F,1852,LFPO,GMTT,RAM667T  ,Z,B738   ,Z  ,CNRGN    ,,240119,AA55465456,,,,,,,,
18941,F,1850,LFBO,LFRN,EJU687H  ,Z,A319   ,Z  ,OELQP    ,,240119,AA55464867,,,,,,,,
18943,F,1430,LFQQ,LFRS,FSF271U  ,Z,PC12   ,Z  ,OHJRD    ,,240118,AA55447331,,,,,,,,
18946,F,1906,LFPG,KJFK,AFR010   ,Z,A359   ,Z  ,FHTYJ    ,,240119,AA55474556,,,,,,,,
18948,F,1850,LFPG,GMMN,AFR59BC  ,Z,A321   ,Z  ,FGTAQ    ,,240119,AA55472952,,,,,,,,
18949,F,1941,LFMN,LFKJ,CCM88CE  ,Z,AT76   ,Z  ,FHXKI    ,,240119,AA55456098,,,,,,,,
18950,F,1859,LFPG,FAAA,BETTY    ,Z,F900   ,Z  ,         ,,240119,         ,,,,,,,,
18952,F,1824,LFRH,LFBO,RIV155   ,Z,B350   ,Z  ,FHFGP    ,,240119,AA55474149,,,,,,,,
18966,F,1911,LFPO,LFCR,AIA1218  ,Z,E145   ,Z  ,FHESR    ,,240119,AA55458633,,,,,,,,
18972,F,1955,LFMN,EPWA,LOT3PW   ,Z,E195   ,Z  ,SPLNP    ,,240119,AA55473552,,,,,,,,
18977,F,1959,LFSB,OTHH,QTR8041  ,Z,B77L   ,Z  ,A7BFX    ,,240119,AA55471779,,,,,,,,
18980,F,1912,LFPG,DIAP,AFR712   ,Z,B772   ,Z  ,FGSPF    ,,240119,AA55475178,,,,,,,,
18981,F,1902,LFBO,LFPO,AFR53KN  ,Z,A318   ,Z  ,FGUGQ    ,,240119,AA55474301,,,,,,,,
18984,F,1856,LFBZ,LFPO,TVF29LJ  ,Z,B738   ,Z  ,FHUYG    ,,240119,AA55466936,,,,,,,,
18987,F,1936,LFBD,LEBL,RYR8GR   ,Z,B738   ,Z  ,9HQAQ    ,,240119,AA55467538,,,,,,,,
18989,F,1947,LFPO,FMEE,FBU70A   ,Z,A35K   ,Z  ,FHMIX    ,,240119,AA55475657,,,,,,,,
18995,F,1918,LFPB,LEMG,HZS557   ,Z,CL60   ,Z  ,T7DMA    ,,240119,AA55475251,,,,,,,,
18997,F,1931,LFRS,LFPG,AFR7505  ,Z,A321   ,Z  ,FGTAP    ,,240119,AA55474079,,,,,,,,
18998,F,2000,LFKB,LFKJ,AGH03A   ,Z,BE20   ,Z  ,FHFKJ    ,,240119,AA55480758,,,,,,,,
18999,F,1949,LFPG,LIRN,EJU84PM  ,Z,A20N   ,Z  ,OELSJ    ,,240119,AA55464960,,,,,,,,
19005,F,1956,LFPG,LSGG,AFR12VH  ,Z,BCS3   ,Z  ,FHZUL    ,,240119,AA55475026,,,,,,,,
19007,F,1922,LFPO,LFBO,AFR31PQ  ,Z,A320   ,Z  ,FHBNB    ,,240119,AA55474314,,,,,,,,
19008,F,2011,LFMN,LFKB,CCM76XG  ,Z,AT76   ,Z  ,FHXKY    ,,240119,AA55456347,,,,,,,,
19010,F,1932,LFPO,LEBL,VLG2EC   ,Z,A321   ,Z  ,ECMPV    ,,240119,AA55460509,,,,,,,,
19014,F,2022,LFSB,BKPR,GPX2YN   ,Z,A320   ,Z  ,LZLAB    ,,240119,AA55475330,,,,,,,,
19016,F,2011,LFRN,EGKK,EZY65LX  ,Z,A319   ,Z  ,GEZDJ    ,,240119,AA55469478,,,,,,,,
19019,F,1952,LFST,LFBD,VOE26KY  ,Z,A320   ,Z  ,ECNNZ    ,,240119,AA55467673,,,,,,,,
19021,F,1924,LFBP,LFPO,TVF29QQ  ,Z,B738   ,Z  ,FHUYP    ,,240119,AA55468309,,,,,,,,
19022,F,2011,LFBD,LPPT,EJU61WP  ,Z,A320   ,Z  ,OEIJI    ,,240119,AA55466332,,,,,,,,
19027,F,1914,LFBD,LFST,TLJ479S  ,Z,E145   ,Z  ,FHFCN    ,,240119,AA55442003,,,,,,,,
19028,F,2011,LFPG,LIRF,AFR81VE  ,Z,A320   ,Z  ,FHEPA    ,,240119,AA55475005,,,,,,,,
19032,F,1939,LFPB,GMME,TLJ663J  ,Z,E35L   ,Z  ,FHGSA    ,,240119,AA55477929,,,,,,,,
19039,F,1940,LFPG,LEAL,VLG2WY   ,Z,A320   ,Z  ,ECKCU    ,,240119,AA55467171,,,,,,,,
19045,F,1920,LFPO,LFPG,AFR380Y  ,Z,A320   ,Z  ,FGKXN    ,,240119,AA55477020,,,,,,,,
19048,F,1950,LFPO,GMME,RAM781S  ,Z,B738   ,Z  ,CNROJ    ,,240119,AA55465710,,,,,,,,
19054,F,1948,LFRB,LFPG,AFR87ZZ  ,Z,A321   ,Z  ,FGMZC    ,,240119,AA55473664,,,,,,,,
19055,F,2042,LFSB,LIPZ,EJU63JP  ,Z,A320   ,Z  ,OEIJJ    ,,240119,AA55480105,,,,,,,,
19056,F,1958,LFOB,LPMA,RYR44GH  ,Z,B738   ,Z  ,EIEVS    ,,240119,AA55469806,,,,,,,,
19057,F,2022,LFPO,LSGG,EZS68RQ  ,Z,A320   ,Z  ,HBJZR    ,,240119,AA55465971,,,,,,,,
19061,F,1959,LFPG,LFBD,NJE185H  ,Z,CL35   ,Z  ,CSCHG    ,,240119,AA55480201,,,,,,,,
19064,F,2030,LFRI,LFOU,FHLRZ    ,Z,E50P   ,Z  ,FHLRZ    ,,240119,AA55421189,,,,,,,,
19065,F,1952,LFPO,LFBT,VOE21MU  ,Z,A319   ,Z  ,ECMTB    ,,240119,AA55468809,,,,,,,,
19080,F,2031,LFPG,LIPZ,EJU82QH  ,Z,A320   ,Z  ,OEIVU    ,,240119,AA55466501,,,,,,,,
19084,F,2004,LFPG,LEBL,EJU75EW  ,Z,A319   ,Z  ,OELQD    ,,240119,AA55465859,,,,,,,,
19089,F,1958,LFPG,LFBP,AFR7494  ,Z,E190   ,Z  ,FHBLD    ,,240119,AA55454352,,,,,,,,
19090,F,2007,LFPG,LEVC,AFR77DJ  ,Z,E170   ,Z  ,FHBXH    ,,240119,AA55454695,,,,,,,,
19093,F,2036,LFPG,LIMF,AFR1502  ,Z,E190   ,Z  ,FHBLN    ,,240119,AA55455629,,,,,,,,
19095,F,2038,LFPO,FMEE,CRL774   ,Z,A339   ,Z  ,FHRNB    ,,240119,AA55477957,,,,,,,,
19097,F,2008,LFOB,GMMX,RYR12YS  ,Z,B738   ,Z  ,EIEMD    ,,240119,AA55469882,,,,,,,,
19099,F,2005,LFPG,LPPT,AFR31WC  ,Z,A320   ,Z  ,FGKXC    ,,240119,AA55475041,,,,,,,,
19101,F,2016,LFBO,LFRS,EJU737R  ,Z,A320   ,Z  ,OEIJZ    ,,240119,AA55466821,,,,,,,,
19105,F,2052,LFPG,EGKK,EZY37DK  ,Z,A21N   ,Z  ,GUZMI    ,,240119,AA55466403,,,,,,,,
19107,F,2013,LFPO,LEMD,IBE34KL  ,Z,A321   ,Z  ,ECIXD    ,,240119,AA55478748,,,,,,,,
19108,F,2003,LFBO,LFPO,AFR66HL  ,Z,A320   ,Z  ,FHBNH    ,,240119,AA55475224,,,,,,,,
19111,F,2042,LFPG,LIMC,EJU18TX  ,Z,A320   ,Z  ,OEIVL    ,,240119,AA55467290,,,,,,,,
19113,F,2015,LFPG,LEZL,VLG24RQ  ,Z,A320   ,Z  ,ECMEA    ,,240119,AA55467720,,,,,,,,
19117,F,2048,LFPO,LIRF,VLG6933  ,Z,A320   ,Z  ,ECMVD    ,,240119,AA55469393,,,,,,,,
19119,F,2016,LFPG,LEBL,VLG7MK   ,Z,A321   ,Z  ,ECMGY    ,,240119,AA55461506,,,,,,,,
19122,F,2011,LFPO,LFBO,EJU423Q  ,Z,A320   ,Z  ,OEIVF    ,,240119,AA55479704,,,,,,,,
19131,F,2024,LFPG,LEBB,VLG5TL   ,Z,A320   ,Z  ,ECMBS    ,,240119,AA55464158,,,,,,,,
19134,F,2102,LFBO,LEMD,ANE8743  ,Z,CRJX   ,Z  ,ECMUG    ,,240119,AA55472460,,,,,,,,
19137,F,2025,LFPG,LEBL,AFR54KA  ,Z,A321   ,Z  ,FGTAZ    ,,240119,AA55475309,,,,,,,,
19138,F,2109,LFPG,EGBB,AFR33JA  ,Z,E190   ,Z  ,FHBLL    ,,240119,AA55455178,,,,,,,,
19141,F,2013,LFBZ,LFPG,AFR7487  ,Z,E190   ,Z  ,FHBLE    ,,240119,AA55453907,,,,,,,,
19145,F,2026,LFPO,LPPT,TAP437X  ,Z,A321   ,Z  ,CSTJF    ,,240119,AA55468697,,,,,,,,
19147,F,2026,LFPG,LPPT,EJU52YZ  ,Z,A320   ,Z  ,OEIVS    ,,240119,AA55466878,,,,,,,,
19149,F,2102,LFPG,LIPZ,AFR1326  ,Z,BCS3   ,Z  ,FHZUI    ,,240119,AA55475906,,,,,,,,
19150,F,2019,LFBO,LFPG,AFR7409  ,Z,A321   ,Z  ,FGTAU    ,,240119,AA55475027,,,,,,,,
19153,F,2050,LFPB,EDFM,JMP900   ,Z,D228   ,Z  ,DIROL    ,,240119,AA55481480,,,,,,,,
19157,F,2126,LFSB,LIMC,BCS4915  ,Z,B738   ,Z  ,EIFNW    ,,240119,AA55475379,,,,,,,,
19161,F,2023,LFBO,LFQQ,VOE27ER  ,Z,A320   ,Z  ,ECNUP    ,,240119,AA55469202,,,,,,,,
19166,F,2039,LFBD,LFPG,SRR6315  ,Z,B763   ,Z  ,OYSRW    ,,240119,AA55455393,,,,,,,,
19167,F,2042,LFRN,LFBO,EJU926D  ,Z,A319   ,Z  ,OELQP    ,,240119,AA55467339,,,,,,,,
19169,F,2046,LFPG,FAOR,AFR990   ,Z,B77W   ,Z  ,FGZNS    ,,240119,AA55478166,,,,,,,,
19174,F,2055,LFPG,LFRS,AFR31RR  ,Z,A321   ,Z  ,FGTAD    ,,240119,AA55475539,,,,,,,,
19183,F,2141,LFSB,EDDP,BCS20D   ,Z,A306   ,Z  ,DAEAE    ,,240119,AA55477764,,,,,,,,
19185,F,2051,LFPG,LEMD,AFR23SB  ,Z,A321   ,Z  ,FGTAT    ,,240119,AA55475176,,,,,,,,
19193,F,2132,LFBD,GMFF,RYR29WE  ,Z,B738   ,Z  ,EIEBW    ,,240119,AA55473132,,,,,,,,
19197,F,2141,LFPG,EGGW,EZY80BA  ,Z,A20N   ,Z  ,GUZHO    ,,240119,AA55468406,,,,,,,,
19203,F,2151,LFSB,EDDK,SRN6261  ,Z,AT72   ,Z  ,SPSPC    ,,240119,AA55477279,,,,,,,,
19204,F,2101,LFPG,GMME,AFR95UU  ,Z,A320   ,Z  ,FGKXJ    ,,240119,AA55475241,,,,,,,,
19205,F,2058,LFPO,LPPR,EJU42VX  ,Z,A320   ,Z  ,OEIJR    ,,240119,AA55467091,,,,,,,,
19228,F,2206,LFSB,EDDP,BCS6RN   ,Z,B752   ,Z  ,OELNA    ,,240119,AA55477372,,,,,,,,
19233,F,2124,LFPG,DAAG,AFR1354  ,Z,A320   ,Z  ,FHEPF    ,,240119,AA55475320,,,,,,,,
19234,F,2152,LFRS,GMFF,RYR414J  ,Z,B38M   ,Z  ,EIIHS    ,,240119,AA55471842,,,,,,,,
19246,F,2208,LFBO,LPPR,RYR88JW  ,Z,B38M   ,Z  ,EIHMS    ,,240119,AA55467620,,,,,,,,
19247,F,2158,LFPG,LFLC,AFR46LR  ,Z,E190   ,Z  ,FHBLI    ,,240119,AA55455334,,,,,,,,
19249,F,2135,LFBO,EGSS,RYR94LE  ,Z,A320   ,Z  ,9HLOT    ,,240119,AA55480561,,,,,,,,
19259,F,2146,LFPG,LFBD,AFR94LB  ,Z,A321   ,Z  ,FGTAP    ,,240119,AA55475689,,,,,,,,
19260,F,2136,LFPG,LPPR,EJU85EU  ,Z,A320   ,Z  ,OEIVA    ,,240119,AA55467247,,,,,,,,
19264,F,2118,LFBO,EGKK,EZY36MF  ,Z,A320   ,Z  ,GEJCF    ,,240119,AA55467589,,,,,,,,
19268,F,2132,LFBO,LFPG,SWT5614  ,Z,B738   ,Z  ,ECOBN    ,,240119,AA55479505,,,,,,,,
19287,F,2216,LFPG,LFRB,AFR7524  ,Z,A320   ,Z  ,FGKXS    ,,240119,AA55476125,,,,,,,,
19291,F,2254,LFPG,EDDK,SRR6315  ,Z,B763   ,Z  ,OYSRV    ,,240119,AA55457452,,,,,,,,
19295,F,2219,LFPG,FKYS,AFR775   ,Z,A332   ,Z  ,FGZCL    ,,240119,AA55478221,,,,,,,,
19303,F,2205,LFBO,LFPG,EJU739F  ,Z,A320   ,Z  ,OEIVF    ,,240119,AA55481774,,,,,,,,
19305,F,2223,LFOB,LPPR,RYR75BQ  ,Z,B738   ,Z  ,EIDLH    ,,240119,AA55466983,,,,,,,,
19306,F,2218,LFPG,LFBO,AFR7410  ,Z,A321   ,Z  ,FGMZC    ,,240119,AA55475812,,,,,,,,
19310,F,2239,LFRS,LEBL,VLG1HQ   ,Z,A320   ,Z  ,ECNBA    ,,240119,AA55466038,,,,,,,,
19315,F,2218,LFMN,LYBE,WZZ5911  ,Z,A21N   ,Z  ,9HWDO    ,,240119,AA55468404,,,,,,,,
19317,F,2236,LFPG,SCEL,AFR406   ,Z,B772   ,Z  ,FGSPZ    ,,240119,AA55479104,,,,,,,,
19325,F,2244,LFOB,LEMG,RYR8CD   ,Z,B38M   ,Z  ,EIIGF    ,,240119,AA55471955,,,,,,,,
19326,F,2304,LFPG,KORD,AFR6734  ,Z,B77L   ,Z  ,FGUOC    ,,240119,AA55479231,,,,,,,,
19327,F,1657,LFOP,LFPN,EAP63    ,Z,PA34   ,Z  ,AEROP    ,,240119,AA55450959,,,,,,,,
19340,F,2316,LFPG,SBGR,AFR454   ,Z,A359   ,Z  ,FHTYN    ,,240119,AA55479938,,,,,,,,
19349,F,1758,LFLN,LFLB,RTO070   ,Z,C172   ,Z  ,FBVBN    ,,240119,AA55477526,,,,,,,,
19408,F,2224,LFMN,EGGW,NJE866B  ,Z,E55P   ,Z  ,CSPHO    ,,240119,AA55475550,,,,,,,,
19409,F,2308,LFPG,VHHH,AFR188   ,Z,A359   ,Z  ,FHUVA    ,,240119,AA55479718,,,,,,,,
19410,F,2310,LFPG,OMDB,AFR658   ,Z,B77W   ,Z  ,FGSQC    ,,240119,AA55479869,,,,,,,,
19412,F,2322,LFPG,EDDP,BCS48B   ,Z,A333   ,Z  ,EIHEB    ,,240119,AA55478981,,,,,,,,
19500,F,1020,LFPO,LIML,EJU39DU  ,Z,A320   ,Z  ,OEINI    ,,240119,AA55454693,,,,,,,,
19503,F,333,FAOR,EGLL,VIR450   ,Z,B789   ,Z  ,GVDIA    ,,240120,AA55475190,,,,,,,,
19507,F,310,HKJK,EBLG,ABD2604  ,Z,B744   ,Z  ,TFAMM    ,,240120,AA55476402,,,,,,,,
19508,F,345,FAOR,EGLL,BAW56    ,Z,A388   ,Z  ,GXLEF    ,,240120,AA55476752,,,,,,,,
19510,F,536,FACT,EGLL,BAW58L   ,Z,A35K   ,Z  ,GXWBB    ,,240120,AA55479097,,,,,,,,
19511,F,1826,LFOB,EGAA,RUK8X    ,Z,B738   ,Z  ,GRUKB    ,,240119,AA55471159,,,,,,,,
19513,F,2007,LFPG,ZSPD,CES570   ,Z,B77W   ,Z  ,B2022    ,,240119,AA55478961,,,,,,,,
19515,F,1945,LFPG,KMEM,FDX9     ,Z,B77L   ,Z  ,N864F    ,,240119,AA55476641,,,,,,,,
19516,F,1953,LFPG,KMEM,FDX5217  ,Z,B77L   ,Z  ,N854F    ,,240119,AA55477397,,,,,,,,
19518,F,2037,LFPG,ESSA,AFR51MX  ,Z,A320   ,Z  ,FGKXV    ,,240119,AA55475412,,,,,,,,
19520,F,615,FAOR,EGLL,BAW54    ,Z,B789   ,Z  ,GZBKG    ,,240120,AA55479098,,,,,,,,
19521,F,2106,LFPG,EHAM,AFR76TL  ,Z,A319   ,Z  ,FHZUM    ,,240119,AA55471121,,,,,,,,
19525,F,515,HTDA,EHAM,KLM567   ,Z,B78X   ,Z  ,PHBKL    ,,240120,AA55476732,,,,,,,,
19527,F,214,FKYS,EBBR,BEL39G   ,Z,A333   ,Z  ,OOSFF    ,,240120,AA55477665,,,,,,,,
19528,F,352,FZAA,EBBR,BEL38K   ,Z,A333   ,Z  ,OOSFE    ,,240120,AA55477342,,,,,,,,
19534,F,300,DNMM,EHAM,KLM588   ,Z,A332   ,Z  ,PHAOE    ,,240120,AA55478213,,,,,,,,
19535,F,532,HRYR,EGLL,RWD710   ,Z,A332   ,Z  ,9XRWX    ,,240120,AA55477623,,,,,,,,
19542,F,748,FAOR,EHAM,KLM592   ,Z,B772   ,Z  ,PHBQB    ,,240120,AA55478917,,,,,,,,
19546,F,608,HKJK,EBLG,ABD335   ,Z,B744   ,Z  ,TFWFF    ,,240120,AA55479800,,,,,,,,
19548,F,430,DBBB,LFPG,AFR805   ,Z,A332   ,Z  ,FGZCJ    ,,240120,AA55479164,,,,,,,,
19551,F,443,DGAA,LFPG,AFR931   ,Z,A332   ,Z  ,FGZCH    ,,240120,AA55479285,,,,,,,,
19552,F,853,FACT,EHAM,KLM104   ,Z,B77W   ,Z  ,PHBVG    ,,240120,AA55479302,,,,,,,,
19553,F,409,DGAA,EHAM,KLM590   ,Z,B77W   ,Z  ,PHBVO    ,,240120,AA55478732,,,,,,,,
19558,F,640,HKJK,EGLL,KQA102   ,Z,B788   ,Z  ,5YKZE    ,,240120,AA55475217,,,,,,,,
19560,F,2323,LFPG,EDDP,BCS58L   ,Z,B752   ,Z  ,OELNZ    ,,240119,AA55477726,,,,,,,,
19565,F,411,DIAP,EBBR,BEL29B   ,Z,A333   ,Z  ,OOSFG    ,,240120,AA55477798,,,,,,,,
19570,F,653,DGAA,EHAM,KLM594   ,Z,B77W   ,Z  ,PHBVP    ,,240120,AA55478713,,,,,,,,
19584,F,847,HKJK,EGLL,BAW64M   ,Z,A35K   ,Z  ,GXWBG    ,,240120,AA55483868,,,,,,,,
19588,F,648,DNMM,LFSB,THY6351  ,Z,A332   ,Z  ,FHMRI    ,,240120,AA55476183,,,,,,,,
19614,F,342,LFPG,OMDB,FDX5124  ,Z,B77L   ,Z  ,N848FD   ,,240120,AA55484834,,,,,,,,
19632,F,513,LFBD,EBCI,RYR94FF  ,Z,B738   ,Z  ,9HQDG    ,,240120,AA55482965,,,,,,,,
19645,F,510,LFPG,LLBG,FPO213   ,Z,B738   ,Z  ,FHIQC    ,,240120,AA55484722,,,,,,,,
19652,F,507,LFBO,EHAM,KLM58L   ,Z,E190   ,Z  ,PHEXF    ,,240120,AA55476383,,,,,,,,
19654,F,507,LFBD,EHAM,KLM76A   ,Z,E190   ,Z  ,PHEZW    ,,240120,AA55476377,,,,,,,,
19660,F,532,LFML,EGSS,RYR45CT  ,Z,B738   ,Z  ,9HQEE    ,,240120,AA55483048,,,,,,,,
19671,F,520,LFPO,LGAV,TVF32GV  ,Z,B738   ,Z  ,FHTVX    ,,240120,AA55478358,,,,,,,,
19675,F,519,LFSB,EHAM,KLM84X   ,Z,E190   ,Z  ,PHEXD    ,,240120,AA55476429,,,,,,,,
19686,F,542,LFPG,EDDM,DLH08P   ,Z,A320   ,Z  ,DAIWA    ,,240120,AA55486939,,,,,,,,
19687,F,531,LFPG,LIRF,ITY317   ,Z,A20N   ,Z  ,EIHOA    ,,240120,AA55480450,,,,,,,,
19688,F,522,LFRS,EHAM,KLM1454  ,Z,E295   ,Z  ,PHNXC    ,,240120,AA55476521,,,,,,,,
19697,F,1338,HKJK,EHAM,KQA116   ,Z,B788   ,Z  ,5YKZG    ,,240120,AA55483888,,,,,,,,
19703,F,536,LFPO,LKPR,TVF13MJ  ,Z,B738   ,Z  ,FHTVR    ,,240120,AA55478442,,,,,,,,
19704,F,601,LFST,GCRR,VOE21XJ  ,Z,A320   ,Z  ,ECNOM    ,,240120,AA55478169,,,,,,,,
19715,F,613,LFML,EHAM,KLM1264  ,Z,E295   ,Z  ,PHNXH    ,,240120,AA55476756,,,,,,,,
19721,F,604,LFPG,ZSPD,CMA630   ,Z,B77L   ,Z  ,FHMRB    ,,240120,AA55483904,,,,,,,,
19733,F,548,LFML,EBBR,BEL1PD   ,Z,A319   ,Z  ,OOSSU    ,,240120,AA55481694,,,,,,,,
19735,F,558,LFSB,LEMG,EZS95EG  ,Z,A320   ,Z  ,HBJZX    ,,240120,AA55482167,,,,,,,,
19737,F,552,LFLL,EHAM,KLM36M   ,Z,B738   ,Z  ,PHBCE    ,,240120,AA55476978,,,,,,,,
19744,F,606,LFSB,EGKK,EZS39TY  ,Z,A320   ,Z  ,OEIJS    ,,240120,AA55477307,,,,,,,,
19747,F,627,LFMN,EGHI,NJE930L  ,Z,F2TH   ,Z  ,CSDFK    ,,240120,AA55480632,,,,,,,,
19761,F,632,LFPG,OJAI,RJA120   ,Z,A319   ,Z  ,JYAYP    ,,240120,AA55480095,,,,,,,,
19762,F,627,LFML,EBCI,RYR43JZ  ,Z,B738   ,Z  ,9HQED    ,,240120,AA55484102,,,,,,,,
19767,F,618,LFSB,EGLL,BAW751   ,Z,A319   ,Z  ,GEUPG    ,,240120,AA55476161,,,,,,,,
19768,F,613,LFBO,EBBR,BEL76T   ,Z,A319   ,Z  ,OOSSN    ,,240120,AA55481901,,,,,,,,
19772,F,620,LFSB,LEST,EZS20CD  ,Z,A20N   ,Z  ,HBAYR    ,,240120,AA55477523,,,,,,,,
19777,F,550,LFSB,KMSY,N25CP    ,Z,GLF5   ,Z  ,N25CP    ,,240120,AA55483779,,,,,,,,
19793,F,606,LFPB,HECA,VJH565   ,Z,E550   ,Z  ,DBOSS    ,,240120,AA55484528,,,,,,,,
19799,F,612,LFLL,EBBR,BEL94L   ,Z,A320   ,Z  ,OOSNM    ,,240120,AA55481985,,,,,,,,
19807,F,625,LFPG,LTFM,THY1CR   ,Z,A321   ,Z  ,TCJTF    ,,240120,AA55486698,,,,,,,,
