compare	Code_1	Code_2	Time of departure/entry_1	Time of departure/entry_2	Departure aerodrome_1	Departure aerodrome_2	Arrival aerodrome_1	Arrival aerodrome_2	Flight identification_1	Flight identification_2	Main Exemption code_1	Main Exemption code_2	Type of aircraft_1	Type of aircraft_2	Operator_1	Operator_2	Aircraft Registration_1	Aircraft Registration_2	Comment1_1	Comment1_2	Flight date_1	Flight date_2	IFPLID_1	IFPLID_2	Planned_aerodrome_1	Planned_aerodrome_2	Charging_zone_overflow_1	Charging_zone_overflow_2	Entry_point_1	Entry_point_2	Exit_point_1	Exit_point_2	Sup_exemption_code_1	Sup_exemption_code_2	Source of the Aircraft Address_1	Source of the Aircraft Address_2	24-bit Aircraft Address_1	24-bit Aircraft Address_2	Comment2_1	Comment2_2
0	F	F	549	549	LFLL	LFLL	EHAM	EHAM	KLM36M   	KLM36M   	Z	Z	B738   	B738   	Z  	Z  	PHBXU    	PHBXU    			240316	240316	AA56939844	AA56939844												1.0		484442		
0	F	F	643	643	LFMN	LFMN	EGLL	EGLL	AFR24YR  	AFR24YR  	Z	Z	A320   	A320   	Z  	Z  	FGKXG    	FGKXG    			240316	240316	AA56948366	AA56948366												1.0		392AE6		
0	F	F	559	559	LFSB	LFSB	EGKK	EGKK	EZS39TY  	EZS39TY  	Z	Z	A320   	A320   	Z  	Z  	HBJXE    	HBJXE    			240316	240316	AA56940161	AA56940161												1.0		4B1A1E		
0	F	F	709	709	LFML	LFML	EBCI	EBCI	RYR43JZ  	RYR43JZ  	Z	Z	B738   	B738   	Z  	Z  	9HQDQ    	9HQDQ    			240316	240316	AA56947849	AA56947849												1.0		4D2273		
0	F	F	607	607	LFSB	LFSB	EGLL	EGLL	BAW751   	BAW751   	Z	Z	A319   	A319   	Z  	Z  	GDBCB    	GDBCB    			240316	240316	AA56938922	AA56938922												1.0		400A7D		
0	F	F	621	621	LFBO	LFBO	EBBR	EBBR	BEL76T   	BEL76T   	Z	Z	A319   	A319   	Z  	Z  	OOSSU    	OOSSU    			240316	240316	AA56945309	AA56945309												1.0		44CE75		
0	F	F	603	603	LFPG	LFPG	LIPZ	LIPZ	EJU81YD  	EJU81YD  	Z	Z	A320   	A320   	Z  	Z  	OEICT    	OEICT    			240316	240316	AA56940370	AA56940370												1.0		4402DB		
0	F	F	611	611	LFSB	LFSB	LEST	LEST	EZS20CD  	EZS20CD  	Z	Z	A20N   	A20N   	Z  	Z  	HBAYM    	HBAYM    			240316	240316	AA56940340	AA56940340												1.0		4B027C		
0	F	F	1311	1311	HKJK	HKJK	EGLL	EGLL	KQA100   	KQA100   	Z	Z	B788   	B788   	Z  	Z  	5YKZA    	5YKZA    			240316	240316	AA56947526	AA56947526												1.0		04C117		
0	F	F	604	604	LFOB	LFOB	EIDW	EIDW	RYR7TU   	RYR7TU   	Z	Z	B738   	B738   	Z  	Z  	9HQEE    	9HQEE    			240316	240316	AA56948045	AA56948045												1.0		4D225A		
0	F	F	618	618	LFPO	LFPO	EIDW	EIDW	TVF49GM  	TVF49GM  	Z	Z	B738   	B738   	Z  	Z  	FGZHK    	FGZHK    			240316	240316	AA56942187	AA56942187												1.0		3964EA		
0	F	F	621	621	LFQQ	LFQQ	GCTS	GCTS	VOE2732  	VOE2732  	Z	Z	A320   	A320   	Z  	Z  	ECNOR    	ECNOR    			240316	240316	AA56942107	AA56942107												1.0		346613		
0	F	F	706	706	LFLL	LFLL	EBBR	EBBR	BEL94L   	BEL94L   	Z	Z	A320   	A320   	Z  	Z  	OOTCV    	OOTCV    			240316	240316	AA56945397	AA56945397												1.0		44D076		
0	F	F	617	617	LFPG	LFPG	EKCH	EKCH	EJU65DR  	EJU65DR  	Z	Z	A319   	A319   	Z  	Z  	OELKC    	OELKC    			240316	240316	AA56940434	AA56940434												1.0		440484		
0	F	F	617	617	LFMN	LFMN	EGKK	EGKK	EJU8424  	EJU8424  	Z	Z	A320   	A320   	Z  	Z  	OEICI    	OEICI    			240316	240316	AA56940398	AA56940398												1.0		44046D		
0	F	F	626	626	LFPG	LFPG	LCLK	LCLK	EJU92JY  	EJU92JY  	Z	Z	A320   	A320   	Z  	Z  	OEIVE    	OEIVE    			240316	240316	AA56941590	AA56941590												1.0		440057		
0	F	F	620	620	LFPG	LFPG	EPWA	EPWA	LOT334   	LOT334   	Z	Z	E195   	E195   	Z  	Z  	SPLNC    	SPLNC    			240316	240316	AA56939313	AA56939313												1.0		48ADA2		
0	F	F	621	621	LFPG	LFPG	LTFM	LTFM	THY1CR   	THY1CR   	Z	Z	A21N   	A21N   	Z  	Z  	TCLTL    	TCLTL    			240316	240316	AA56951971	AA56951971												1.0		4BB28C		
0	F	F	631	631	LFPG	LFPG	EIDW	EIDW	AFR1716  	AFR1716  	Z	Z	E190   	E190   	Z  	Z  	FHBLB    	FHBLB    			240316	240316	AA56928175	AA56928175												1.0		398561		
0	F	F	639	639	LFPG	LFPG	EHAM	EHAM	AFR59NB  	AFR59NB  	Z	Z	A321   	A321   	Z  	Z  	FGTAM    	FGTAM    			240316	240316	AA56948820	AA56948820												1.0		394C0C		
0	F	F	627	627	LFPG	LFPG	LOWW	LOWW	AUA42DW  	AUA42DW  	Z	Z	A320   	A320   	Z  	Z  	OELZE    	OELZE    			240316	240316	AA56948795	AA56948795												1.0		440604		
0	F	F	623	623	LFPG	LFPG	KPHL	KPHL	UPS218   	UPS218   	Z	Z	B763   	B763   	Z  	Z  	N328U    	N328UP   			240316	240316	AA56951865	AA56951865												1.0		A38DD8		
0	F	F	702	702	LFPG	LFPG	LIPE	LIPE	AFR1228  	AFR1228  	Z	Z	B738   	B738   	Z  	Z  	FHIXB    	FHIXB    			240316	240316	AA56951466	AA56951466												1.0		39A2E1		
0	F	F	634	634	LFPG	LFPG	LIRQ	LIRQ	AFR67DR  	AFR67DR  	Z	Z	A319   	A319   	Z  	Z  	FGRHZ    	FGRHZ    			240316	240316	AA56949098	AA56949098												1.0		3944F9		
0	F	F	649	649	LFPG	LFPG	LIML	LIML	AFR41LU  	AFR41LU  	Z	Z	BCS3   	BCS3   	Z  	Z  	FHZUL    	FHZUL    			240316	240316	AA56949216	AA56949216												1.0		39E68B		
0	F	F	641	641	LFPG	LFPG	EGKK	EGKK	EJU8402  	EJU8402  	Z	Z	A320   	A320   	Z  	Z  	OEIVN    	OEIVN    			240316	240316	AA56940701	AA56940701												1.0		4400B9		
0	F	F	638	638	LFPG	LFPG	LSZH	LSZH	SWR511P  	SWR511P  	Z	Z	E290   	E290   	Z  	Z  	HBAZB    	HBAZB    			240316	240316	AA56932629	AA56932629												1.0		4B028B		
0	F	F	718	718	LFMN	LFMN	EGLL	EGLL	BAW341   	BAW341   	Z	Z	A20N   	A20N   	Z  	Z  	GTTND    	GTTND    			240316	240316	AA56939444	AA56939444												1.0		407534		
0	F	F	635	635	LFPG	LFPG	EDDP	EDDP	BCS207   	BCS207   	Z	Z	A306   	A306   	Z  	Z  	DAEAA    	DAEAA    			240316	240316	AA56950281	AA56950281												1.0		3C5421		
0	F	F	624	624	LFSB	LFSB	LFBO	LFBO	EZS9959  	EZS9959  	Z	Z	A320   	A320   	Z  	Z  	HBJXJ    	HBJXJ    			240316	240316	AA56942693	AA56942693												1.0		4B1A23		
0	F	F	758	758	LFSB	LFSB	LPPT	LPPT	EZS76WR  	EZS76WR  	Z	Z	A320   	A320   	Z  	Z  	HBJZX    	HBJZX    			240316	240316	AA56946781	AA56946781												1.0		4B1A65		
0	F	F	703	703	LFPG	LFPG	EDDB	EDDB	AFR1434  	AFR1434  	Z	Z	BCS3   	BCS3   	Z  	Z  	FHZUM    	FHZUM    			240316	240316	AA56949275	AA56949275												1.0		39E68C		
0	F	F	644	644	LFPO	LFPO	EDDB	EDDB	EJU40FD  	EJU40FD  	Z	Z	A320   	A320   	Z  	Z  	OEINF    	OEINF    			240316	240316	AA56940977	AA56940977												1.0		440237		
0	F	F	658	658	LFPO	LFPO	UDYZ	UDYZ	TVF7490  	TVF7490  	Z	Z	B738   	B738   	Z  	Z  	FHTVU    	FHTVU    			240316	240316	AA56948896	AA56948896												1.0		39CEB4		
0	F	F	737	737	LFMN	LFMN	LFSB	LFSB	EZS108H  	EZS108H  	Z	Z	A320   	A320   	Z  	Z  	HBJZZ    	HBJZZ    			240316	240316	AA56941046	AA56941046												1.0		4B1A67		
0	F	F	708	708	LFMN	LFMN	EHRD	EHRD	AZE87VZ  	AZE87VZ  	Z	Z	E50P   	E50P   	Z  	Z  	DIAAB    	DIAAB    			240316	240316	AA56928407	AA56928407												1.0		3E1749		
0	F	F	717	717	LFOB	LFOB	EYVI	EYVI	RYR30DH  	RYR30DH  	Z	Z	B738   	B738   	Z  	Z  	SPRKM    	SPRKM    			240316	240316	AA56945089	AA56945089												1.0		48C12C		
0	F	F	712	712	LFPO	LFPO	EFKT	EFKT	TVF56CE  	TVF56CE  	Z	Z	B738   	B738   	Z  	Z  	FHTVJ    	FHTVJ    			240316	240316	AA56948434	AA56948434												1.0		39CEA9		
0	F	F	714	714	LFPG	LFPG	OTHH	OTHH	QTR60Y   	QTR60Y   	Z	Z	B77W   	B77W   	Z  	Z  	A7BAU    	A7BAU    			240316	240316	AA56945718	AA56945718												1.0		06A137		
0	F	F	725	725	LFPO	LFPO	EFIV	EFIV	TVF53PE  	TVF53PE  	Z	Z	B738   	B738   	Z  	Z  	FHTVR    	FHTVR    			240316	240316	AA56948487	AA56948487												1.0		39CEB1		
0	F	F	733	733	LFPG	LFPG	EDDS	EDDS	AFR14MQ  	AFR14MQ  	Z	Z	E170   	E170   	Z  	Z  	FHBXM    	FHBXM    			240316	240316	AA56930227	AA56930227												1.0		3986EC		
0	F	F	747	747	LFPG	LFPG	EHAM	EHAM	AFR17DN  	AFR17DN  	Z	Z	BCS3   	BCS3   	Z  	Z  	FHPND    	FHPND    			240316	240316	AA56950093	AA56950093												1.0		39BDA3		
0	F	F	732	732	LFPG	LFPG	EDDN	EDDN	AFR19BU  	AFR19BU  	Z	Z	E190   	E190   	Z  	Z  	FHBLX    	FHBLX    			240316	240316	AA56930487	AA56930487												1.0		398577		
0	F	F	845	845	LFKJ	LFKJ	LFOH	LFOH	EUP421   	EUP421   	Z	Z	E145   	E145   	Z  	Z  	FHBPE    	FHBPE    			240316	240316	AA56942397	AA56942397												1.0		3985E4		
0	F	F	732	732	LFOB	LFOB	LIRP	LIRP	RYR47SH  	RYR47SH  	Z	Z	B738   	B738   	Z  	Z  	9HQAB    	9HQAB    			240316	240316	AA56947595	AA56947595												1.0		4D21EA		
0	F	F	749	749	LFRS	LFRS	EBCI	EBCI	RYR5732  	RYR5732  	Z	Z	B738   	B738   	Z  	Z  	EIDPY    	EIDPY    			240316	240316	AA56947817	AA56947817												1.0		4CA564		
0	F	F	738	738	LFOB	LFOB	EPGD	EPGD	RYR40AA  	RYR40AA  	Z	Z	B738   	B738   	Z  	Z  	SPRKE    	SPRKE    			240316	240316	AA56946496	AA56946496												1.0		48C124		
0	F	F	743	743	LFPO	LFPO	EFRO	EFRO	TVF34NJ  	TVF34NJ  	Z	Z	B738   	B738   	Z  	Z  	FGZHP    	FGZHP    			240316	240316	AA56948463	AA56948463												1.0		3964EF		
0	F	F	803	803	LFPG	LFPG	LSZH	LSZH	AFR34DA  	AFR34DA  	Z	Z	A319   	A319   	Z  	Z  	FGRHY    	FGRHY    			240316	240316	AA56950606	AA56950606												1.0		3944F8		
0	F	F	744	744	LFOB	LFOB	EKCH	EKCH	RYR9741  	RYR9741  	Z	Z	B738   	B738   	Z  	Z  	9HQAY    	9HQAY    			240316	240316	AA56947341	AA56947341												1.0		4D2262		
0	F	F	756	756	LFPG	LFPG	EDDM	EDDM	AFR19VC  	AFR19VC  	Z	Z	A320   	A320   	Z  	Z  	FGKXQ    	FGKXQ    			240316	240316	AA56950533	AA56950533												1.0		392AF0		
0	F	F	801	801	LFPG	LFPG	LIMF	LIMF	AFR96WC  	AFR96WC  	Z	Z	E190   	E190   	Z  	Z  	FHBLF    	FHBLF    			240316	240316	AA56931054	AA56931054												1.0		398565		
0	F	F	754	754	LFOB	LFOB	LOWW	LOWW	RYR3ZB   	RYR3ZB   	Z	Z	A320   	A320   	Z  	Z  	9HLOI    	9HLOI    			240316	240316	AA56947067	AA56947067												1.0		4D22B4		
0	F	F	820	820	LFPG	LFPG	OLBA	OLBA	AFR566   	AFR566   	Z	Z	A332   	A332   	Z  	Z  	FGZCH    	FGZCH    			240316	240316	AA56952673	AA56952673												1.0		396447		
0	F	F	802	802	LFPG	LFPG	EDDM	EDDM	DLH95M   	DLH95M   	Z	Z	A319   	A319   	Z  	Z  	DAILB    	DAILB    			240316	240316	AA56941690	AA56941690												1.0		3C6582		
0	F	F	757	757	LFLB	LFLB	EGNJ	EGNJ	NJE387F  	NJE387F  	Z	Z	F2TH   	F2TH   	Z  	Z  	CSDLC    	CSDLC    			240316	240316	AA56948571	AA56948571												1.0		491183		
