Sequence number,Code,Time of departure/entry,Departure aerodrome,Arrival aerodrome,Flight identification,Main Exemption code,Type of aircraft,Operator,Aircraft Registration,Comment1,Flight date,IFPLID,Planned_aerodrome,Charging_zone_overflow,Entry_point,Exit_point,Sup_exemption_code,Source of the Aircraft Address,24-bit Aircraft Address,Comment2,case7,case8,case9,case10,case13,case15,case16,case18,ccrArrival,front_alg_fr,premier_plot_fr,modes_fr,Type_Avion_Survol
12109,F,1015,LFGJ,LFLO,NAK744   ,T,TB20   ,Z  ,FGMQN    ,,240321,AA57079992,,,,,,,39320D,,NAK744,IX ,TB20/L,SBDFGRYZ/EB2 ,LFGJ0920 ,N0150F070 NUCIF DCT PIBAT/N0140F080 A2 CACHI G21 MOU A3 LESPI/N0140F060 ,LFLO0100 LFLN ,"DOF/240321 EET/LFFF0018 LFMM0048 IFP/MODESASP NAV/SBAS ORGN/KAUSZXBT REG/FGMQN RMK/CREW CONTACT 0033686082636 FILED BY 00441273782130 SUR/260B)
",BALE,False,818.0,39320D,TB20
12110,F,1050,LFLO,LFLN,NAK744   ,T,TB20   ,Z  ,FGMQN    ,,240321,AA57079936,,,,,,,39320D,,NAK744,IX ,TB20/L,SBDFGRYZ/EB2 ,LFLO1030 ,N0154F080 LESPI A3 ONZON ,LFLN0024 LFLC ,"DOF/240321 IFP/MODESASP NAV/SBAS ORGN/KAUSZXBT REG/FGMQN RMK/CREW CONTACT 0033686082636 FILED BY 00441273782130 SUR/260B)
",LYON,False,818.0,39320D,TB20
12111,F,741,LFLN,LFGJ,NAK747   ,T,TB20   ,Z  ,FGTYF    ,,240321,AA57093800,,,,,,,394F05,,NAK747,IX ,TB20/L,SBDFGRYZ/EB2 ,LFLN0715 ,N0140F080 BUSIL A2 AMORO ,LFGJ0038 ,"DOF/240321 EET/LFFF0020 LFEE0024 IFP/MODESASP NAV/SBAS ORGN/KAUSZXBT REG/FGTYF RMK/CREW CONTACT 0033687115370 FILED BY 00441273782130 STS/ALTRV)
",LYON,False,903.0,394F05,TB20
12112,F,905,LFGJ,LFLN,NAK747   ,T,TB20   ,Z  ,FGTYF    ,,240321,AA57093898,,,,,,,394F05,,NAK747,IX ,TB20/L,SBDFGRYZ/EB2 ,LFGJ0900 ,N0140F080 PIBAT ,LFLN0033 ,"DOF/240321 EET/LFFF0017 LFMM0030 IFP/MODESASP NAV/SBAS ORGN/KAUSZXBT REG/FGTYF RMK/CREW CONTACT 0033687115370 FILED BY 00441273782130)
",BALE,False,903.0,394F05,TB20
12113,F,713,LFLN,LFBR,NAK789   ,T,TB20   ,Z  ,FGTYA    ,,240321,AA57091168,,,,,,,394F00,,NAK789,IX ,TB20/L,SBDFGRYZ/S ,LFLN0545 ,N0154F100 SINPO R66 RIVEK/N0140F090 R161 CFA V12 GAI ,LFBR0136 LFMK LFBO ,"DOF/240321 EET/LFBB0040 IFP/MODESASP NAV/SBAS ORGN/KAUSZXBT REG/FGTYA RMK/CREW CONTACT 0033637136096 FILED BY 00441273782130)
",LYON,False,547.0,394F00,TB20
12114,F,1608,LFBR,LFLN,NAK789   ,T,TB20   ,Z  ,FGJXA    ,,240321,AA57104454,,,,,,,394F00,,NAK789,IX ,TB20/L,SBDFGRYZ/S ,LFBR1600 ,N0140F080 GAI G5 MEN A27 CFA ,LFLN0141 LFLC LFLY ,"DOF/240321 EET/LFMM0042 IFP/MODESASP NAV/SBAS ORGN/KAUSZXBT REG/FGJXA RMK/CREW CONTACT 0033637136096 FILED BY 00441273782130 SUR/260B)
",TOUL,False,1608.0,394F00,TB20
12115,F,1308,LFPG,KMIA,NBT32J   ,Z,B789   ,Z  ,LNFNC    ,,240321,AA57094235,,,,,,,47B12E,,NBT32J,IS ,B789/H,SADE1E2FGHIJ1J3J4J5M1P2RWXYZ/LB1D1 ,LFPG1250 ,N0477F350 LGL UT176 ROLEN UZ15 DIDAK DCT AKEMO DCT RIVAK/M084F360 DCT SIVIR/M085F360 DCT PASAS/M085F360 DCT 43N020W DCT 40N030W DCT 38N040W DCT 37N050W DCT 35N060W DCT BALOO DCT ANTIG M328 CNNOR/N0492F360 DCT ZFP BR68V MUNRO BNFSH2 ,KMIA0920 KFLL ,"CODE/47B12E DAT/1FANSER DOF/240321 EET/EGGX0103 LPPO0128 KZWY0408 KZMA0820 KZMA0843 MYNA0843 NAV/RNP2 OPR/NBT REG/LNFNC RMK/CALLSI
",CDG,False,1308.0,47B12E,B789
12124,F,1717,LFRD,LFRN,NJE07ZT  ,Z,C56X   ,Z  ,         ,,240321,         ,,,,,,,      ,,nan,nan,nan,nan,nan,nan,nan,nan,RENN,,nan,nan,
12132,F,1047,LFPB,ELLX,NJE180W  ,Z,E55P   ,Z  ,CSPHQ    ,,240321,AA57090281,,,,,,,494111,,NJE180W,IN ,E55P/M,SBFGJ1RUWXY/HB1 ,LFPB1045 ,N0382F190 DIKOL J10 SUIPE M163 MMD ,ELLX0027 EDFH ,"CODE/494111 DOF/240321 EET/EBBU0024 IFP/MODESASP OPR/NJE ORGN/LPPTNJEW PER/B REG/CSPHQ RMK/SATCOM 881652419126)
",CDG,False,1047.0,494111,E55P
12133,F,1204,LFMT,LEVC,NJE188K  ,Z,E55P   ,Z  ,CSPHY    ,,240321,AA57090909,,,,,,,494119,,NJE188K,IN ,E55P/M,SBFGJ1RUWXY/HB1 ,LFMT1200 ,N0381F180 PPG/N0381F190 A27 KANIG/N0406F310 N855 BGR N975 BCN M985 SOPET ,LEVC0103 LEAL ,"CODE/494119 DOF/240321 EET/LECB0016 OPR/NJE ORGN/LPPTNJEW PER/B REG/CSPHY RMK/SATCOM 00881652420691 LEVC FBO UNITED AVIATION SERVICES SL)
",MONT,False,1206.0,494119,E55P
