FLPL_CALL_SIGN,FLPL_AIRC_TYPE,FLPL_DEPR_AIRP,FLPL_ARRV_AIRP,MODES_ADRESS,FILE_DATE,Time of departure/entry,Departure aerodrome,Arrival aerodrome,Type of aircraft,Main Exemption code,Aircraft Registration,IFPLID,Mode S,Type Avion Survol
FHBOI,EC35,LFBU,LFBX,3985C8,2024-03-22,929.0,LFBX,LFBU,EC35,Z,FHBOI    ,AA57103536,,EC35
FHBOI,EC35,LFBX,LFBU,3985C8,2024-03-22,929.0,LFBX,LFBU,EC35,Z,FHBOI    ,AA57103536,,EC35
FHBOI,EC35,LFBU,LFBX,3985C8,2024-03-22,929.0,LFBX,LFBU,EC35,Z,FHBOI    ,AA57103536,,EC35
NAK378,BE58,LFLN,LFLS,39364B,2024-03-18,1230.0,LFLS,LFLN,TB20,Z,FGTYB    ,AA57017491,394F01,BE58
NAK378,BE58,LFLN,LFLS,39364B,2024-03-18,1815.0,LFLS,LFLN,TB20,Z,FGTYB    ,AA57022221,394F01,BE58
AUA900,A320,GMMX,LOWW,440605,2024-03-18,1609.0,GMMX,LOWW,A320,Z,OELZD    ,AA57012899,,A320
CTM2053,A400,LFOJ,OMAM,3B776D,2024-03-18,924.0,LFOJ,OMAM,A400,M,FRBAF    ,AA57009399,,A400
AFR108,A359,LFPG,VOMM,39CF04,2024-03-18,1450.0,LFPG,VOMM,A359,Z,FHUVF    ,AA57017207,39D2A5,A359
CTM3810,TBM7,LFBM,LFPV,3B7527,2024-03-18,1037.0,LFSI,LFBM,TBM7,M,FRAXG    ,AA57015684,,TBM7
CTM3810,TBM7,LFOA,LFSI,3B7527,2024-03-18,1037.0,LFSI,LFBM,TBM7,M,FRAXG    ,AA57015684,,TBM7
CTM3810,TBM7,LFPV,LFOA,3B7527,2024-03-18,1037.0,LFSI,LFBM,TBM7,M,FRAXG    ,AA57015684,,TBM7
OHWWW,PC12,LFEV,LFGF,463C6A,2024-03-18,1450.0,LFEV,LFGF,PC12,Y,OHWWW    ,AA57020463,,PC12
EJU502E,A319,LFMN,LFBO,44009E,2024-03-18,2044.0,LFMN,LFBO,A319,Z,OELKO    ,AA57009550,,A319
EJU4679,A320,LFPG,EGAA,4400B9,2024-03-18,1025.0,LFPG,EGAA,A320,Z,OEIVN    ,AA57015390,,A320
EJU437U,A320,LFMN,LFBO,4401FA,2024-03-18,949.0,LFMN,LFBO,A320,Z,OEIVW    ,AA56998835,,A320
9HGRC,FA8X,DNAA,LSGG,4D21C7,2024-03-18,1431.0,DNAA,LSGG,FA8X,Z,9HGRC    ,AA57012722,,FA8X
OCN139,A333,FYWH,EDDF,3C6568,2024-03-18,208.0,FYWH,EDDF,A333,Z,DAIKH    ,AA56991845,,A333
CTM1200,A400,LFBF,LFOJ,3B7762,2024-03-18,710.0,LFOJ,LFBF,A400,M,FRBAQ    ,AA56935841,,A400
CTM1200,A400,LFOJ,LFBF,3B7762,2024-03-18,710.0,LFOJ,LFBF,A400,M,FRBAQ    ,AA56935841,,A400
SWR283,B77W,FAOR,LSZH,4B1918,2024-03-18,355.0,FAOR,LSZH,B77W,Z,HBJNC    ,AA56989724,,B77W
SWR283,B77W,FAOR,LSZH,4B1918,2024-03-21,346.0,FAOR,LSZH,B77W,Z,HBJNC    ,AA57072362,,B77W
NAK715A,,,,393642,2024-03-18,1334.0,LFGJ,LFLN,BE58,T,FGNSC    ,AA57017837,4B1BFA,BE58
NAK715A,BE58,LFGJ,LFLN,393642,2024-03-18,1334.0,LFGJ,LFLN,BE58,T,FGNSC    ,AA57017837,4B1BFA,BE58
NAK715,BE58,LFLN,LFQG,393642,2024-03-21,1335.0,LFMH,LFLN,BE58,T,FGNSC    ,AA57094834,,BE58
NAK715,BE58,LFQG,LFLB,393642,2024-03-21,1335.0,LFMH,LFLN,BE58,T,FGNSC    ,AA57094834,,BE58
NAK715,BE58,LFLB,LFMH,393642,2024-03-21,1335.0,LFMH,LFLN,BE58,T,FGNSC    ,AA57094834,,BE58
NAK744,BE58,LFBK,LFLV,393642,2024-03-22,1010.0,LFLV,LFLW,BE58,T,FGNSC    ,AA57124854,,BE58
NAK744,BE58,LFLW,LFLC,393642,2024-03-22,1010.0,LFLV,LFLW,BE58,T,FGNSC    ,AA57124854,,BE58
NAK744,BE58,LFQG,LFBK,393642,2024-03-22,1010.0,LFLV,LFLW,BE58,T,FGNSC    ,AA57124854,,BE58
NAK744,BE58,LFLN,LFQG,393642,2024-03-22,1010.0,LFLV,LFLW,BE58,T,FGNSC    ,AA57124854,,BE58
DLH573,B748,FAOR,EDDF,3C4B35,2024-03-18,232.0,FAOR,EDDF,B748,Z,DABYUI   ,AA56991336,,B748
AFR406,B772,LFPG,SCEL,3949F9,2024-03-18,2235.0,LFPG,SCEL,B772,Z,FGSPI    ,AA57024751,3949E8,B772
JFA11P,PC12,LSGG,LFLB,4D02CD,2024-03-18,1618.0,LFLI,LFMS,PC12,Y,LXRUM    ,AA56993061,,PC12
CTM1140,CN35,LFOE,LFBI,3B77DE,2024-03-18,1436.0,LFBL,LFOJ,CN35,M,156      ,         ,,CN35
CTM1140,CN35,LFDH,LFLX,3B77DE,2024-03-18,1436.0,LFBL,LFOJ,CN35,M,156      ,         ,,CN35
CTM1140,CN35,LFOJ,LFRG,3B77DE,2024-03-19,953.0,LFLX,LFOJ,CN35,M,FRAIQ    ,AA57022850,,CN35
CTM1140,CN35,LFOJ,LFRN,3B77DE,2024-03-19,953.0,LFLX,LFOJ,CN35,M,FRAIQ    ,AA57022850,,CN35
CTM1140,CN35,LFLX,LFOJ,3B77DE,2024-03-19,953.0,LFLX,LFOJ,CN35,M,FRAIQ    ,AA57022850,,CN35
CTM1140,CN35,LFOJ,LFLX,3B77DE,2024-03-19,953.0,LFLX,LFOJ,CN35,M,FRAIQ    ,AA57022850,,CN35
FMY8511,NH90,LFBP,LFBZ,3AAABC,2024-03-18,925.0,LFBZ,LFBY,NH90,M,FMEBM    ,AA57010491,,NH90
AFR108,A359,LFPG,VOMM,39D2A5,2024-03-18,916.0,LFPG,LFPG,A359,Z,FHTYE    ,         ,39CF04,A359
